,org_id,city,average_bill,rating,rubric,coffee_to_go,food_delivery,breakfast,summer_terrace,wi_fi,business_lunch,payment_by_credit_card,car_park,gift_certificate,karaoke,free_delivery,music,pets,air_conditioning,view_on_ostankino_tower
157,2290635863179213806,msk,500.0,4.739130434782608,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
158,5969078580620443881,msk,500.0,5.0,Кафе,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1
159,8811082137204661648,msk,500.0,4.625,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
160,4235597815839369217,msk,500.0,4.833333333333333,Кафе,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
161,7150177473717612631,spb,500.0,4.941176470588236,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
162,8813267797103816400,spb,500.0,,Быстрое питание,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
164,6297602393727921360,spb,500.0,4.2727272727272725,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
167,12349564176455764306,msk,500.0,4.364864864864865,Кондитерская,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
175,10415953020339342184,msk,500.0,3.5365474339035767,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
176,1436851296572901776,msk,500.0,4.323943661971831,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
177,3806153494303225719,msk,500.0,4.363636363636363,Пиццерия,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
179,13749921866863115604,msk,500.0,3.1739130434782608,Кафе,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0
180,16911189109539973251,msk,500.0,4.625,"Булочная, пекарня",0,1,1,0,1,1,1,0,0,1,0,0,0,0,0
188,2118396683563612972,msk,500.0,4.487804878048781,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
189,7115065809445803175,msk,500.0,3.3928571428571432,Кафе,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
190,17502176494567174028,msk,500.0,,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
193,10973370934659351206,msk,500.0,4.333333333333333,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
194,12594744438691949431,msk,500.0,3.9230769230769234,Суши-бар,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
196,4184792678998645197,msk,500.0,3.9527078565980167,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
197,18357239733785342306,msk,500.0,,"Бар, паб",1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
198,17619672321774417330,msk,500.0,3.879642365887208,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
199,1325108666570145840,msk,500.0,1.0,"Бар, паб",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
200,6790195213436644248,msk,500.0,4.373540856031128,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
201,7958257577542782833,msk,500.0,4.5,Ресторан,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
202,1346254180719759881,spb,500.0,4.0,Кафе,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
207,7089654699514715221,spb,500.0,4.728155339805825,"Бар, паб",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
209,7890723502659610614,spb,500.0,4.405405405405405,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
210,287129499669185216,spb,500.0,4.441666666666666,"Бар, паб",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
211,15857022436663303736,spb,500.0,4.833333333333333,Кафе,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
212,13766342416401937452,spb,500.0,4.2727272727272725,"Бар, паб",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
213,13521409952148466211,spb,500.0,4.023255813953488,Кафе,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
214,13305617663182509088,msk,1000.0,4.565217391304348,Пиццерия,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0
215,11937076235238284254,msk,1000.0,,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
216,12426920827506067131,msk,1000.0,3.3846153846153846,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
218,6938405408136575125,msk,1000.0,4.266666666666667,"Бар, паб",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
220,5928472133948989598,msk,1000.0,,Ресторан,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0
221,4409783885886845395,msk,1000.0,4.25,Кафе,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
227,9331822955569507897,msk,2000.0,4.303738317757008,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
230,6097396844666078470,msk,1500.0,4.303482587064677,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
231,12562185527969208661,spb,1500.0,,Ресторан,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
232,6566954158599683420,spb,3000.0,4.546762589928059,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
233,10339551968685741773,msk,2500.0,4.428571428571429,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
234,11295504915159010724,msk,2500.0,,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
238,13725094111978015641,msk,,4.428571428571429,Суши-бар,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
240,1563510657772397652,msk,,4.59349593495935,Кафе,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1
241,7169403856932827723,msk,,4.216479942175641,Быстрое питание,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
246,18258020246984612369,msk,,4.488372093023256,"Булочная, пекарня",1,1,1,1,1,0,1,0,1,0,0,0,0,0,1
247,7613306367593705259,msk,,3.9722222222222223,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
249,7442014566914155877,msk,,3.760135135135135,Ресторан,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0
251,8634216101533431485,msk,,4.0,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
253,10733875840681461515,msk,,4.7,Кофейня,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
255,7596072532491457971,spb,,4.391304347826087,Кондитерская,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
263,14328590969568225578,spb,,4.307692307692308,Ресторан,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
264,10376665512021037328,spb,,,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
267,6261403332530764502,spb,,4.12,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
269,18332273587759553748,spb,500.0,4.536796536796537,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
270,6236803430818667051,spb,500.0,4.8125,Кофейня,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
271,1532920260259129003,msk,500.0,4.366666666666666,Кафе,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
276,14249731551635180478,msk,500.0,4.438202247191012,"Бар, паб",1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
278,539364200822877840,msk,500.0,3.2564102564102564,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
279,7016148333257151963,msk,500.0,3.4642857142857144,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
283,5109931452604319149,spb,500.0,4.286885245901638,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
286,17270947998271045185,spb,1000.0,4.857142857142857,Ресторан,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
287,10369328989793786416,spb,1000.0,4.500330469266359,Ресторан,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0
288,8080235081539493616,msk,3500.0,4.517367458866545,Ресторан,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
289,1256712543886545333,msk,1500.0,4.515748031496064,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
291,15412250491970622462,msk,500.0,4.128205128205129,Кафе,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
292,10020740361274112963,msk,500.0,4.24223602484472,Кондитерская,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
293,10107235533181140107,msk,500.0,4.875,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
294,12354275444582841306,msk,500.0,4.857142857142857,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
295,8691961359095559949,msk,500.0,5.0,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
296,11840312446981505586,msk,500.0,5.0,Кофейня,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
297,5007800483947093929,msk,500.0,4.722222222222221,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
299,18397227898699434225,msk,500.0,3.75,Столовая,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
300,16171369773500304408,msk,500.0,4.59375,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
301,13820218584959319920,msk,500.0,4.833333333333333,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
302,15616916898292634323,spb,500.0,3.7058823529411766,"Булочная, пекарня",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
303,6986355991785547138,spb,500.0,3.8,"Бар, паб",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
304,14385047923878154832,spb,500.0,4.414634146341464,"Булочная, пекарня",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
305,6098928794738875507,spb,500.0,4.184782608695652,"Булочная, пекарня",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
306,12183082350815922923,spb,500.0,4.592592592592593,"Булочная, пекарня",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
308,18390770672600705982,spb,500.0,4.677966101694915,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
309,17223227439865933550,spb,500.0,4.4,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
313,12182654869240558373,spb,500.0,3.037037037037037,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
314,6773554159431638677,msk,500.0,5.0,Пиццерия,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
316,3903290232331533749,msk,500.0,4.454545454545454,Кофейня,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
317,10209475797478926626,msk,500.0,3.652173913043478,Быстрое питание,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
318,9768999313258839959,msk,500.0,5.0,"Бар, паб",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
322,371028128580512409,msk,500.0,4.1020408163265305,Быстрое питание,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
326,9546102375123150832,msk,500.0,4.2,Быстрое питание,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
328,7837501958933801320,msk,500.0,3.878787878787879,Кафе,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
329,11716878797629462544,msk,500.0,4.71875,"Бар, паб",0,1,0,1,0,1,1,0,0,1,0,0,0,0,0
331,7165635480270038689,msk,500.0,4.1410256410256405,Кафе,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
334,4915986821893951142,msk,500.0,3.48936170212766,Суши-бар,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
336,9573801928849100569,msk,500.0,3.111111111111111,Быстрое питание,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
337,447022968411586547,msk,500.0,5.0,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
338,2243367029045347131,msk,500.0,4.167487684729064,Быстрое питание,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
339,8579550110409616751,msk,500.0,3.625,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
340,1876074169748051017,msk,500.0,3.8,Пиццерия,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0
342,3043181266319134066,msk,500.0,4.450980392156863,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
344,5419516270925347098,msk,500.0,4.243902439024391,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
345,13317054660001117889,msk,500.0,3.9705882352941178,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
346,18326350051907827260,msk,500.0,4.562995594713656,"Бар, паб",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
349,10309327364244749931,spb,500.0,4.5,Кафе,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
350,13375050961071291935,spb,500.0,4.875,Кафе,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
352,5296896643500697926,spb,500.0,4.1842105263157885,Столовая,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
353,18115137956544016129,spb,500.0,,Суши-бар,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
354,12004717418077582305,spb,500.0,4.318181818181818,Быстрое питание,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
357,3174590956903147804,spb,500.0,1.0,Быстрое питание,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
359,3526909931049665490,spb,500.0,3.375,Кафе,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
363,2665583318595555472,spb,500.0,2.4,Кафе,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0
364,1068991904696198654,spb,500.0,4.696629213483146,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
365,550469305213682031,spb,500.0,4.642857142857143,Кондитерская,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
366,2902599566927219707,spb,500.0,,Кофейня,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
368,5177900504020585832,spb,500.0,4.222222222222221,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
369,4177319192752665025,spb,500.0,3.8,Кафе,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0
372,4421886834828248612,msk,1000.0,,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
374,18007589722022914002,msk,1000.0,5.0,Кафе,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
378,11708000531423718919,msk,1000.0,3.933333333333333,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
381,4466951465541836747,msk,1000.0,4.111111111111111,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
382,7233873734878920854,msk,1000.0,4.670731707317073,"Бар, паб",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
383,176374933113654486,msk,1000.0,3.04,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
385,3316165156744102441,msk,1000.0,3.9538461538461536,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
386,16601653305098862824,msk,1000.0,4.37437300501596,Ресторан,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
389,10981676493976643923,spb,1000.0,,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
391,3230035244432064883,msk,2000.0,3.1538461538461537,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
395,2494003682384206251,msk,1500.0,4.440476190476192,Ресторан,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
397,1384337140747196941,msk,1500.0,4.307692307692308,Ресторан,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
398,890161629320320085,msk,1500.0,4.619266055045872,Ресторан,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
400,17566698856696864608,msk,1500.0,4.386792452830188,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
401,3639370628366794965,msk,1500.0,3.3448275862068964,Кафе,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
402,5497447192076418251,spb,1500.0,4.483870967741935,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
403,2185076980626291065,msk,3000.0,,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
406,5268334768195133673,msk,2500.0,3.0,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0
407,13399473704121365470,msk,2500.0,,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
408,15975953334262497247,msk,4500.0,,Ресторан,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1
412,10768933964907089583,msk,,3.8695652173913038,Кафе,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
413,697218608835061724,msk,,4.414634146341464,Пиццерия,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0
414,6503367659194076237,msk,,3.9565217391304346,Кафе,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
415,5602832802848780761,msk,,4.62962962962963,Кальян-бар,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
417,3245917073374360276,msk,,3.9521276595744683,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
419,3947680475783995808,msk,,4.135593220338983,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
420,16119199189961977631,msk,,3.5,Быстрое питание,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1
422,17950711723397816579,spb,,4.578947368421051,Спортбар,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
425,16568092225537977913,spb,,4.458333333333333,Ресторан,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
427,13404794617628073692,msk,500.0,3.4,Ресторан,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0
430,6185641498972503715,msk,500.0,4.875,Кафе,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
431,3256117052893639695,msk,500.0,4.3108108108108105,Ресторан,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1
434,11758900583710825402,spb,500.0,4.393939393939394,Быстрое питание,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
436,1906355424796401572,spb,500.0,4.028708133971292,Кафе,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
437,458421008727338579,spb,500.0,4.526315789473684,Быстрое питание,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
438,7263399722607142689,spb,500.0,4.522277227722772,Ресторан,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
439,14660186121275308334,spb,500.0,4.170212765957447,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
442,2614950817699798854,msk,1000.0,4.647058823529412,Кафе,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0
443,10670110385549067018,msk,1000.0,4.411764705882354,"Бар, паб",1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
448,14710454583400603216,msk,3000.0,,Кафе,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1
453,15589939568562221985,msk,500.0,5.0,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
456,15057164428101913272,msk,500.0,3.4761904761904763,Кафе,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
457,11232371690848588661,msk,500.0,4.875,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
458,10176528017835925359,msk,500.0,4.363636363636363,Кафе,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
459,16097323163776615413,spb,500.0,3.0740740740740735,"Булочная, пекарня",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
462,18071095513419972566,spb,500.0,4.448979591836736,Кафе,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
464,2773574181726437926,spb,500.0,4.133720930232558,Быстрое питание,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
466,776650110132496570,spb,500.0,4.4901960784313735,Кафе,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
467,14481001909052561209,spb,500.0,4.941176470588236,Кофейня,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
